Citizen_ID,Age,Gender,Annual_Income,Employment_Status,Family_Size,Education_Level,Social_Category,Disability,Rural_Urban,Scheme_Eligibility
1,56.0,Female,913204.0,Employed,1,Secondary,General,No,Rural,0
2,69.0,Female,596312.0,Employed,3,Graduate,General,No,Rural,1
3,46.0,Female,817768.0,Self-employed,10,Graduate,SC,No,Urban,0
4,32.0,Female,657200.0,Unemployed,4,Primary,OBC,No,Urban,0
5,60.0,Female,829521.0,Employed,4,Graduate,OBC,No,Rural,0
6,25.0,Male,283746.0,Employed,4,Postgraduate,OBC,No,Urban,0
7,78.0,Male,461373.0,Employed,5,Secondary,OBC,,Urban,1
8,38.0,Female,835427.0,Unemployed,9,Graduate,OBC,No,Rural,0
9,56.0,Male,921913.0,Self-employed,4,Secondary,SC,No,Urban,0
10,75.0,Female,545336.0,Employed,9,Graduate,OBC,No,Rural,1
11,36.0,Male,400697.0,Employed,9,Secondary,SC,No,Rural,1
12,40.0,Male,707116.0,Employed,1,Graduate,SC,No,Rural,1
13,28.0,Female,281749.0,Unemployed,5,Secondary,General,No,Rural,1
14,28.0,Female,676776.0,Employed,9,Graduate,OBC,No,Rural,0
15,41.0,Female,,Employed,4,Postgraduate,OBC,No,Rural,0
16,70.0,Female,763411.0,Employed,5,Postgraduate,ST,No,Urban,1
17,53.0,Male,281773.0,Unemployed,4,Secondary,General,No,Rural,0
18,57.0,Male,390354.0,Employed,2,Primary,ST,No,Rural,1
19,41.0,Female,224166.0,Employed,10,Graduate,OBC,Yes,Urban,0
20,20.0,Female,552066.0,Self-employed,2,Graduate,OBC,No,Rural,0
21,39.0,Male,793249.0,Employed,2,Postgraduate,General,No,Rural,0
22,,Female,,Employed,1,Graduate,General,No,Rural,0
23,,Male,499251.0,Self-employed,3,Graduate,ST,No,Rural,1
24,41.0,Male,566031.0,Employed,10,Primary,General,No,Rural,1
25,61.0,Male,97367.0,Employed,1,Graduate,General,Yes,Rural,0
26,47.0,Female,812832.0,Employed,4,Secondary,General,No,Rural,1
27,55.0,Female,984622.0,Unemployed,1,Primary,General,No,Rural,0
